benchmark,predictor,budget_label,budget_entries,mode,instructions,ipc,fwd_dir_rate,rev_dir_rate,fwd_addr_rate,rev_addr_rate,tage_fwd_tag_matches,sc_fwd_inversions,loop_fwd_hits,loop_rev_hits
go,tage,256KB,262144,frmt,10000002,1.3497,0.9164,0.9616,0.9127,0.9585,1210788,0,234388,224036
go,tage,256KB,262144,twin,10000002,1.3468,0.9152,0.9434,0.9115,0.9403,1089725,0,233944,234106
go,tage,512KB,524288,frmt,10000002,1.3507,0.9167,0.9750,0.9130,0.9719,1216206,0,245344,243654
go,tage,512KB,524288,twin,10000002,1.3522,0.9174,0.9609,0.9137,0.9578,940914,0,245270,245428
go,tage,1MB,1048576,frmt,10000002,1.3601,0.9216,0.9859,0.9179,0.9828,1189313,0,294894,294498
go,tage,1MB,1048576,twin,10000002,1.3515,0.9170,0.9733,0.9134,0.9701,865640,0,305321,305462
go,tagesc,16KB,16384,frmt,10000002,1.3238,0.9038,0.9241,0.9000,0.9213,1197916,150540,94427,61738
go,tagesc,16KB,16384,twin,10000002,1.3290,0.9066,0.7732,0.9029,0.7703,1471431,32279,93365,93832
go,tagesc,32KB,32768,frmt,10000002,1.3220,0.9038,0.9241,0.9001,0.9213,1260886,165667,128513,95622
go,tagesc,32KB,32768,twin,10000002,1.3330,0.9089,0.8124,0.9051,0.8095,1387752,36562,127178,127634
go,tagesc,64KB,65536,frmt,10000002,1.3264,0.9053,0.9456,0.9016,0.9427,1263638,108051,177322,153610
go,tagesc,64KB,65536,twin,10000002,1.3332,0.9089,0.8818,0.9052,0.8788,1214013,43814,176425,176730
go,tagesc,128KB,131072,frmt,10000002,1.3269,0.9055,0.9524,0.9018,0.9494,1241844,99998,213796,192846
go,tagesc,128KB,131072,twin,10000002,1.3303,0.9080,0.9124,0.9043,0.9094,1168994,48776,212596,212707
go,tagesc,256KB,262144,frmt,10000002,1.3314,0.9078,0.9607,0.9041,0.9576,1208501,81849,235985,225632
go,tagesc,256KB,262144,twin,10000002,1.3314,0.9080,0.9434,0.9043,0.9403,1053414,54907,235258,235397
go,tagesc,512KB,524288,frmt,10000002,1.3281,0.9068,0.9744,0.9031,0.9713,1209976,80732,247025,245334
go,tagesc,512KB,524288,twin,10000002,1.3318,0.9082,0.9609,0.9045,0.9578,957842,72592,246536,246668
go,tagesc,1MB,1048576,frmt,10000002,1.3319,0.9082,0.9855,0.9045,0.9824,1204140,72321,306525,306129
go,tagesc,1MB,1048576,twin,10000002,1.3315,0.9080,0.9733,0.9043,0.9701,878419,68330,305911,306031
go,tscl,16KB,16384,frmt,10000002,1.3221,0.9028,0.9239,0.8990,0.9211,1229955,152348,93652,60965
go,tscl,16KB,16384,twin,10000002,1.3347,0.9100,0.7732,0.9062,0.7703,1451917,30051,92606,93056
go,tscl,32KB,32768,frmt,10000002,1.3312,0.9069,0.9243,0.9032,0.9214,1288833,146505,126633,93743
go,tscl,32KB,32768,twin,10000002,1.3343,0.9096,0.8124,0.9058,0.8095,1407145,33171,125717,126144
go,tscl,64KB,65536,frmt,10000002,1.3421,0.9123,0.9439,0.9085,0.9411,1255359,98214,175298,151581
go,tscl,64KB,65536,twin,10000002,1.3352,0.9098,0.8818,0.9060,0.8788,1285378,38776,174381,174679
go,tscl,128KB,131072,frmt,10000002,1.3372,0.9103,0.9496,0.9065,0.9467,1245977,94982,211065,190111
go,tscl,128KB,131072,twin,10000002,1.3359,0.9101,0.9124,0.9064,0.9094,1119209,42710,210652,210752
go,tscl,256KB,262144,frmt,10000002,1.3387,0.9109,0.9587,0.9071,0.9557,1249871,76596,232715,222362
go,tscl,256KB,262144,twin,10000002,1.3363,0.9106,0.9434,0.9068,0.9403,1049794,44599,232517,232650
go,tscl,512KB,524288,frmt,10000002,1.3393,0.9114,0.9724,0.9077,0.9693,1220650,74165,243753,242062
go,tscl,512KB,524288,twin,10000002,1.3408,0.9120,0.9609,0.9082,0.9578,956698,51525,243784,243907
go,tscl,1MB,1048576,frmt,10000002,1.3358,0.9099,0.9843,0.9062,0.9812,1209601,65056,303441,303045
go,tscl,1MB,1048576,twin,10000002,1.3355,0.9096,0.9733,0.9059,0.9701,884344,59341,304670,304770
ijpeg,tage,16KB,16384,frmt,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,143901,0,267561,267561
ijpeg,tage,16KB,16384,twin,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,284892,0,267561,267558
ijpeg,tage,32KB,32768,frmt,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,427930,0,267561,267561
ijpeg,tage,32KB,32768,twin,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,284887,0,267561,267558
ijpeg,tage,64KB,65536,frmt,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,710126,0,267561,267561
ijpeg,tage,64KB,65536,twin,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,284887,0,267561,267558
ijpeg,tage,128KB,131072,frmt,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,286042,0,267561,267561
ijpeg,tage,128KB,131072,twin,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,284887,0,267561,267558
ijpeg,tage,256KB,262144,frmt,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,427806,0,267561,267561
ijpeg,tage,256KB,262144,twin,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,284887,0,267561,267558
ijpeg,tage,512KB,524288,frmt,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,427806,0,267561,267561
ijpeg,tage,512KB,524288,twin,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,284887,0,267561,267558
ijpeg,tage,1MB,1048576,frmt,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,427806,0,267561,267561
ijpeg,tage,1MB,1048576,twin,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,284887,0,267561,267558
ijpeg,tagesc,16KB,16384,frmt,10000000,2.6733,0.9998,1.0000,0.9996,1.0000,143901,102,267561,267561
ijpeg,tagesc,16KB,16384,twin,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,284892,1113,267561,267558
ijpeg,tagesc,32KB,32768,frmt,10000000,2.6733,0.9998,1.0000,0.9996,1.0000,427930,102,267561,267561
ijpeg,tagesc,32KB,32768,twin,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,284887,1113,267561,267558
ijpeg,tagesc,64KB,65536,frmt,10000000,2.6733,0.9998,1.0000,0.9996,1.0000,710126,240,267561,267561
ijpeg,tagesc,64KB,65536,twin,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,284887,1113,267561,267558
ijpeg,tagesc,128KB,131072,frmt,10000000,2.6733,0.9998,1.0000,0.9996,1.0000,286042,104,267561,267561
ijpeg,tagesc,128KB,131072,twin,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,284887,1113,267561,267558
ijpeg,tagesc,256KB,262144,frmt,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,427806,0,267561,267561
ijpeg,tagesc,256KB,262144,twin,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,284887,1113,267561,267558
ijpeg,tagesc,512KB,524288,frmt,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,427806,1,267561,267561
ijpeg,tagesc,512KB,524288,twin,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,284887,1113,267561,267558
ijpeg,tagesc,1MB,1048576,frmt,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,427806,1,267561,267561
ijpeg,tagesc,1MB,1048576,twin,10000000,2.6736,0.9998,1.0000,0.9997,1.0000,284887,1113,267561,267558
