benchmark,predictor,budget_label,budget_entries,mode,instructions,ipc,fwd_dir_rate,rev_dir_rate,fwd_addr_rate,rev_addr_rate,tage_fwd_tag_matches,sc_fwd_inversions,loop_fwd_hits,loop_rev_hits
gcc,tscl,16KB,16384,frmt,10000000,0.7885,0.9039,0.9534,0.8741,0.9267,1128184,73615,81579,52282
gcc,tscl,16KB,16384,twin,10000000,0.7991,0.9238,0.7315,0.8938,0.7049,1154419,20683,80809,81213
gcc,tscl,32KB,32768,frmt,10000000,0.7932,0.9114,0.9431,0.8815,0.9158,1132694,68634,94371,61299
gcc,tscl,32KB,32768,twin,10000000,0.8001,0.9254,0.7774,0.8954,0.7501,1057174,23412,93772,94116
gcc,tscl,64KB,65536,frmt,10000000,0.7964,0.9156,0.9221,0.8855,0.8942,1165941,69806,118421,87752
gcc,tscl,64KB,65536,twin,10000000,0.8017,0.9277,0.8308,0.8976,0.8024,960373,26359,117864,118223
gcc,tscl,128KB,131072,frmt,10000000,0.7988,0.9202,0.9188,0.8902,0.8901,1133341,67301,124421,108024
gcc,tscl,128KB,131072,twin,10000000,0.8029,0.9289,0.8935,0.8988,0.8643,866294,28365,123830,124201
gcc,tscl,256KB,262144,frmt,10000000,0.8019,0.9253,0.9420,0.8952,0.9125,1108814,68462,133655,120305
gcc,tscl,256KB,262144,twin,10000000,0.8035,0.9295,0.9395,0.8994,0.9096,754574,30708,133186,133493
gcc,tscl,512KB,524288,frmt,10000000,0.8038,0.9275,0.9723,0.8975,0.9421,1103051,45157,140152,130417
gcc,tscl,512KB,524288,twin,10000000,0.8037,0.9296,0.9675,0.8995,0.9372,729228,35026,139879,140103
gcc,tscl,1MB,1048576,frmt,10000000,0.8036,0.9275,0.9877,0.8974,0.9573,1076628,46386,143413,137138
gcc,tscl,1MB,1048576,twin,10000000,0.8037,0.9294,0.9853,0.8993,0.9548,648028,43581,143378,143480
go,bimod,16KB,16384,frmt,10000002,1.3475,0.9150,0.8984,0.9114,0.8957,0,0,0,0
