bench,bpred,size,frmt,metric,value
gcc,bimod,256KB,0,reverse_jr_seen,174461
gcc,bimod,256KB,0,reverse_jr_non_ras_hits.PP,17148
gcc,bimod,256KB,0,reverse_jr_non_ras_seen.PP,53076
gcc,bimod,256KB,0,reverse_bpred_addr_rate,0.8915
gcc,bimod,256KB,0,reverse_bpred_dir_rate,0.9191
gcc,bimod,256KB,0,reverse_bpred_jr_rate,0.7941
gcc,bimod,256KB,0,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,bimod,256KB,0,reverse_retstack_pushes,121385
gcc,bimod,256KB,0,reverse_retstack_pops,121396
gcc,bimod,256KB,0,reverse_used_ras.PP,121385
gcc,bimod,256KB,0,reverse_ras_hits.PP,121385
gcc,bimod,256KB,0,reverse_ras_rate.PP,1.0000
gcc,bimod,32KB,1,lookups,2457438
gcc,bimod,32KB,1,updates,2060457
gcc,bimod,32KB,1,addr_hits,1821845
gcc,bimod,32KB,1,dir_hits,1882603
gcc,bimod,32KB,1,misses,177854
gcc,bimod,32KB,1,jr_hits,134444
gcc,bimod,32KB,1,jr_seen,174461
gcc,bimod,32KB,1,jr_non_ras_hits.PP,17126
gcc,bimod,32KB,1,jr_non_ras_seen.PP,53076
gcc,bimod,32KB,1,bpred_addr_rate,0.8842
gcc,bimod,32KB,1,bpred_dir_rate,0.9137
gcc,bimod,32KB,1,bpred_jr_rate,0.7706
gcc,bimod,32KB,1,bpred_jr_non_ras_rate.PP,0.3227
gcc,bimod,32KB,1,retstack_pushes,153192
gcc,bimod,32KB,1,retstack_pops,135512
gcc,bimod,32KB,1,used_ras.PP,121385
gcc,bimod,32KB,1,ras_hits.PP,117318
gcc,bimod,32KB,1,ras_rate.PP,0.9665
gcc,bimod,32KB,1,reverse_lookups,2060457
gcc,bimod,32KB,1,reverse_updates,2060457
gcc,bimod,32KB,1,reverse_addr_hits,1805681
gcc,bimod,32KB,1,reverse_dir_hits,1859039
gcc,bimod,32KB,1,reverse_misses,201418
gcc,bimod,32KB,1,reverse_jr_hits,138533
gcc,bimod,32KB,1,reverse_jr_seen,174461
gcc,bimod,32KB,1,reverse_jr_non_ras_hits.PP,17148
gcc,bimod,32KB,1,reverse_jr_non_ras_seen.PP,53076
gcc,bimod,32KB,1,reverse_bpred_addr_rate,0.8763
gcc,bimod,32KB,1,reverse_bpred_dir_rate,0.9022
gcc,bimod,32KB,1,reverse_bpred_jr_rate,0.7941
gcc,bimod,32KB,1,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,bimod,32KB,1,reverse_retstack_pushes,121385
gcc,bimod,32KB,1,reverse_retstack_pops,121396
gcc,bimod,32KB,1,reverse_used_ras.PP,121385
gcc,bimod,32KB,1,reverse_ras_hits.PP,121385
gcc,bimod,32KB,1,reverse_ras_rate.PP,1.0000
gcc,bimod,32KB,0,lookups,2457438
gcc,bimod,32KB,0,updates,2060457
gcc,bimod,32KB,0,addr_hits,1821845
gcc,bimod,32KB,0,dir_hits,1882603
gcc,bimod,32KB,0,misses,177854
gcc,bimod,32KB,0,jr_hits,134444
gcc,bimod,32KB,0,jr_seen,174461
gcc,bimod,32KB,0,jr_non_ras_hits.PP,17126
gcc,bimod,32KB,0,jr_non_ras_seen.PP,53076
gcc,bimod,32KB,0,bpred_addr_rate,0.8842
gcc,bimod,32KB,0,bpred_dir_rate,0.9137
gcc,bimod,32KB,0,bpred_jr_rate,0.7706
gcc,bimod,32KB,0,bpred_jr_non_ras_rate.PP,0.3227
gcc,bimod,32KB,0,retstack_pushes,153192
gcc,bimod,32KB,0,retstack_pops,135512
gcc,bimod,32KB,0,used_ras.PP,121385
gcc,bimod,32KB,0,ras_hits.PP,117318
gcc,bimod,32KB,0,ras_rate.PP,0.9665
gcc,bimod,32KB,0,reverse_lookups,2060457
gcc,bimod,32KB,0,reverse_updates,2060457
gcc,bimod,32KB,0,reverse_addr_hits,1828673
gcc,bimod,32KB,0,reverse_dir_hits,1884841
gcc,bimod,32KB,0,reverse_misses,175616
gcc,bimod,32KB,0,reverse_jr_hits,138533
gcc,bimod,32KB,0,reverse_jr_seen,174461
gcc,bimod,32KB,0,reverse_jr_non_ras_hits.PP,17148
gcc,bimod,32KB,0,reverse_jr_non_ras_seen.PP,53076
gcc,bimod,32KB,0,reverse_bpred_addr_rate,0.8875
gcc,bimod,32KB,0,reverse_bpred_dir_rate,0.9148
gcc,bimod,32KB,0,reverse_bpred_jr_rate,0.7941
gcc,bimod,32KB,0,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,bimod,32KB,0,reverse_retstack_pushes,121385
gcc,bimod,32KB,0,reverse_retstack_pops,121396
gcc,bimod,32KB,0,reverse_used_ras.PP,121385
gcc,bimod,32KB,0,reverse_ras_hits.PP,121385
gcc,bimod,32KB,0,reverse_ras_rate.PP,1.0000
gcc,bimod,512KB,1,lookups,2455038
gcc,bimod,512KB,1,updates,2060457
gcc,bimod,512KB,1,addr_hits,1829810
gcc,bimod,512KB,1,dir_hits,1891139
gcc,bimod,512KB,1,misses,169318
gcc,bimod,512KB,1,jr_hits,134463
gcc,bimod,512KB,1,jr_seen,174461
gcc,bimod,512KB,1,jr_non_ras_hits.PP,17126
gcc,bimod,512KB,1,jr_non_ras_seen.PP,53076
gcc,bimod,512KB,1,bpred_addr_rate,0.8881
gcc,bimod,512KB,1,bpred_dir_rate,0.9178
gcc,bimod,512KB,1,bpred_jr_rate,0.7707
gcc,bimod,512KB,1,bpred_jr_non_ras_rate.PP,0.3227
gcc,bimod,512KB,1,retstack_pushes,153181
gcc,bimod,512KB,1,retstack_pops,136016
gcc,bimod,512KB,1,used_ras.PP,121385
gcc,bimod,512KB,1,ras_hits.PP,117337
gcc,bimod,512KB,1,ras_rate.PP,0.9667
gcc,bimod,512KB,1,reverse_lookups,2060457
gcc,bimod,512KB,1,reverse_updates,2060457
gcc,bimod,512KB,1,reverse_addr_hits,1835911
gcc,bimod,512KB,1,reverse_dir_hits,1892529
gcc,bimod,512KB,1,reverse_misses,167928
gcc,bimod,512KB,1,reverse_jr_hits,138533
gcc,bimod,512KB,1,reverse_jr_seen,174461
